week,state,district,risk_category,severity_score,severity_trend,dominant_signal,signal_contribution,enrol_total,demo_total,bio_total,enrol_age_0_5,enrol_age_5_17,enrol_age_18_plus,demo_age_5_17,demo_age_18_plus,bio_age_5_17,bio_age_18_plus,is_anomaly,data_quality_flag,data_completeness
2025-02-25/2025-03-03,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Watchlist,28.823976669802768,insufficient_data,Enrolment,Enrolment (59%),0,392,279,0,0,0,32,360,178,101,True,partial,66.66666666666666
2025-04-01/2025-04-07,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,29.562986138420612,stable,Demographic,Demographic (42%),0,0,268,0,0,0,0,0,151,117,False,partial,33.33333333333333
2025-04-29/2025-05-05,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,28.325151043930607,stable,Enrolment,Enrolment (48%),0,0,84,0,0,0,0,0,34,50,False,partial,33.33333333333333
2025-05-27/2025-06-02,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,29.308115189155327,stable,Enrolment,Enrolment (45%),0,0,136,0,0,0,0,0,61,75,False,partial,33.33333333333333
2025-07-01/2025-07-07,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,27.15359267303847,stable,Demographic,Demographic (42%),0,0,242,0,0,0,0,0,95,147,False,partial,33.33333333333333
2025-08-26/2025-09-01,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Watchlist,30.05338260409114,stable,Enrolment,Enrolment (40%),12,23,19,10,2,0,0,23,5,14,True,complete,100.0
2025-09-02/2025-09-08,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Watchlist,28.118875086027774,stable,Biometric,Biometric (36%),14,89,101,13,1,0,0,89,35,66,True,complete,100.0
2025-09-09/2025-09-15,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,22.658628883767005,accelerating_down,Biometric,Biometric (39%),10,26,83,8,2,0,2,24,37,46,False,complete,100.0
2025-09-16/2025-09-22,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,20.455869691307345,stable,Enrolment,Enrolment (39%),8,13,46,8,0,0,0,13,17,29,False,complete,100.0
2025-09-23/2025-09-29,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,37.27800762313926,accelerating_up,Demographic,Demographic (44%),4,0,0,3,1,0,0,0,0,0,False,partial,33.33333333333333
2025-10-07/2025-10-13,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,16.263019134601446,accelerating_down,Biometric,Biometric (47%),0,10,0,0,0,0,1,9,0,0,False,partial,33.33333333333333
2025-10-14/2025-10-20,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,19.866753735565094,rising,Biometric,Biometric (38%),4,21,35,3,1,0,4,17,10,25,False,complete,100.0
2025-10-21/2025-10-27,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,22.76606437212176,stable,Enrolment,Enrolment (35%),4,22,43,2,2,0,3,19,17,26,False,complete,100.0
2025-10-28/2025-11-03,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,15.771045415293603,accelerating_down,Biometric,Biometric (39%),2,16,31,1,1,0,2,14,14,17,False,complete,100.0
2025-11-04/2025-11-10,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,18.957263670073658,rising,Biometric,Biometric (44%),2,17,67,2,0,0,2,15,44,23,False,complete,100.0
2025-11-11/2025-11-17,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,21.13429900588727,stable,Biometric,Biometric (39%),4,30,60,4,0,0,0,30,36,24,False,complete,100.0
2025-11-18/2025-11-24,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,25.262871805535816,rising,Demographic,Demographic (37%),6,38,15,6,0,0,2,36,9,6,False,complete,100.0
2025-11-25/2025-12-01,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,17.84037610875208,accelerating_down,Biometric,Biometric (54%),0,19,54,0,0,0,0,19,48,6,False,partial,66.66666666666666
2025-12-02/2025-12-08,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,31.975194967214293,accelerating_up,Enrolment,Enrolment (52%),0,21,157,0,0,0,3,18,126,31,False,partial,66.66666666666666
2025-12-09/2025-12-15,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,22.208729337781143,accelerating_down,Biometric,Biometric (39%),1,41,68,1,0,0,6,35,56,12,False,complete,100.0
2025-12-16/2025-12-22,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,13.478251406718233,declining,Biometric,Biometric (44%),0,11,14,0,0,0,1,10,11,3,False,partial,66.66666666666666
2025-12-23/2025-12-29,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,Stable,14.013117257617235,stable,Enrolment,Enrolment (51%),5,2,11,4,1,0,0,2,9,2,False,complete,100.0
2025-02-25/2025-03-03,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Watchlist,31.799376925362395,insufficient_data,Enrolment,Enrolment (53%),0,422,817,0,0,0,20,402,470,347,True,partial,66.66666666666666
2025-04-01/2025-04-07,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,32.86765899414561,stable,Demographic,Demographic (37%),0,0,971,0,0,0,0,0,623,348,False,partial,33.33333333333333
2025-04-29/2025-05-05,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,33.06191909213208,stable,Enrolment,Enrolment (41%),0,0,522,0,0,0,0,0,272,250,False,partial,33.33333333333333
2025-05-27/2025-06-02,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,34.1633217544385,stable,Enrolment,Enrolment (38%),0,0,745,0,0,0,0,0,292,453,False,partial,33.33333333333333
2025-07-01/2025-07-07,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Critical,42.795619476735205,accelerating_up,Demographic,Demographic (53%),0,438,999,0,0,0,40,398,351,648,True,partial,66.66666666666666
2025-08-26/2025-09-01,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,29.209499555369668,accelerating_down,Biometric,Biometric (36%),4,37,36,4,0,0,0,37,18,18,False,complete,100.0
2025-09-02/2025-09-08,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,28.812386322472715,stable,Biometric,Biometric (38%),15,79,151,15,0,0,1,78,78,73,False,complete,100.0
2025-09-09/2025-09-15,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,30.01702087900193,stable,Biometric,Biometric (41%),15,87,317,13,2,0,7,80,247,70,False,complete,100.0
2025-09-16/2025-09-22,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,25.731644433755015,declining,Biometric,Biometric (47%),3,47,242,3,0,0,2,45,216,26,False,complete,100.0
2025-09-23/2025-09-29,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,36.54712380053242,accelerating_up,Demographic,Demographic (45%),3,0,0,3,0,0,0,0,0,0,False,partial,33.33333333333333
2025-10-07/2025-10-13,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,22.687435897670916,accelerating_down,Biometric,Biometric (34%),4,12,0,4,0,0,1,11,0,0,False,partial,66.66666666666666
2025-10-14/2025-10-20,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,28.345890992832487,accelerating_up,Biometric,Biometric (41%),9,59,197,8,1,0,3,56,164,33,False,complete,100.0
2025-10-21/2025-10-27,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,24.510394249855857,declining,Biometric,Biometric (44%),2,32,132,2,0,0,3,29,98,34,False,complete,100.0
2025-10-28/2025-11-03,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,26.47853180030365,stable,Biometric,Biometric (38%),8,83,140,8,0,0,2,81,85,55,False,complete,100.0
2025-11-04/2025-11-10,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,27.36161733163955,stable,Biometric,Biometric (38%),8,92,148,8,0,0,5,87,109,39,False,complete,100.0
2025-11-11/2025-11-17,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,29.72642584384962,stable,Biometric,Biometric (39%),14,76,219,14,0,0,5,71,170,49,False,complete,100.0
2025-11-18/2025-11-24,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,26.72838432677956,stable,Biometric,Biometric (39%),5,28,49,5,0,0,4,24,42,7,False,complete,100.0
2025-11-25/2025-12-01,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,30.474460853901576,rising,Biometric,Biometric (40%),2,96,187,2,0,0,6,90,171,16,False,complete,100.0
2025-12-02/2025-12-08,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,38.20186410013229,accelerating_up,Enrolment,Enrolment (44%),0,149,235,0,0,0,2,147,201,34,False,partial,66.66666666666666
2025-12-09/2025-12-15,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,31.178373587189288,accelerating_down,Enrolment,Enrolment (35%),8,110,134,8,0,0,3,107,104,30,False,complete,100.0
2025-12-16/2025-12-22,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,28.3430093433208,stable,Biometric,Biometric (35%),3,81,62,3,0,0,3,78,35,27,False,complete,100.0
2025-12-23/2025-12-29,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Watchlist,30.64699655409784,stable,Enrolment,Enrolment (35%),25,83,86,24,1,0,5,78,34,52,True,complete,100.0
2025-12-30/2026-01-05,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,Stable,37.54116011000139,accelerating_up,Demographic,Demographic (44%),4,0,0,4,0,0,0,0,0,0,False,partial,33.33333333333333
2025-02-25/2025-03-03,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Watchlist,33.88698181311238,insufficient_data,Enrolment,Enrolment (49%),0,524,1607,0,0,0,74,450,964,643,True,partial,66.66666666666666
2025-04-01/2025-04-07,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,33.854362263864445,stable,Demographic,Demographic (36%),0,0,1505,0,0,0,0,0,856,649,False,partial,33.33333333333333
2025-04-29/2025-05-05,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,35.18099953474852,stable,Enrolment,Enrolment (38%),0,0,1289,0,0,0,0,0,676,613,False,partial,33.33333333333333
2025-05-27/2025-06-02,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,34.91509567422428,stable,Enrolment,Enrolment (37%),0,0,1063,0,0,0,0,0,492,571,False,partial,33.33333333333333
2025-07-01/2025-07-07,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,31.654935895838285,declining,Demographic,Demographic (35%),0,0,1587,0,0,0,0,0,649,938,False,partial,33.33333333333333
2025-08-26/2025-09-01,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,35.96433975742491,rising,Biometric,Biometric (40%),11,46,120,10,1,0,2,44,83,37,False,complete,100.0
2025-09-02/2025-09-08,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,36.10157927621512,stable,Biometric,Biometric (39%),28,256,542,26,2,0,24,232,330,212,False,complete,100.0
2025-09-09/2025-09-15,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,34.317052692115915,stable,Biometric,Biometric (41%),18,206,598,15,3,0,18,188,388,210,False,complete,100.0
2025-09-16/2025-09-22,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,34.42669690954283,stable,Biometric,Biometric (40%),21,129,498,20,1,0,21,108,344,154,False,complete,100.0
2025-09-23/2025-09-29,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,41.54149658834584,accelerating_up,Demographic,Demographic (40%),22,0,0,21,1,0,0,0,0,0,False,partial,33.33333333333333
2025-10-07/2025-10-13,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,24.782106978839746,accelerating_down,Demographic,Demographic (35%),6,20,0,6,0,0,0,20,0,0,False,partial,66.66666666666666
2025-10-14/2025-10-20,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,34.38751054072458,accelerating_up,Biometric,Biometric (37%),22,175,336,20,2,0,25,150,189,147,False,complete,100.0
2025-10-21/2025-10-27,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,35.28526109577386,stable,Biometric,Biometric (39%),14,146,401,13,1,0,17,129,256,145,False,complete,100.0
2025-10-28/2025-11-03,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,33.60880915182112,stable,Biometric,Biometric (37%),15,298,436,15,0,0,42,256,279,157,False,complete,100.0
2025-11-04/2025-11-10,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,34.09131025216274,stable,Biometric,Biometric (36%),18,313,324,17,1,0,32,281,184,140,False,complete,100.0
2025-11-11/2025-11-17,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,35.435097124683,stable,Biometric,Biometric (35%),29,277,323,28,1,0,19,258,141,182,False,complete,100.0
2025-11-18/2025-11-24,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,35.202092569696696,stable,Demographic,Demographic (36%),14,133,77,13,1,0,9,124,32,45,False,complete,100.0
2025-11-25/2025-12-01,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,34.26857496965394,stable,Biometric,Biometric (38%),2,320,249,2,0,0,34,286,197,52,False,complete,100.0
2025-12-02/2025-12-08,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Critical,42.04226804124407,accelerating_up,Enrolment,Enrolment (40%),0,449,532,0,0,0,42,407,400,132,True,partial,66.66666666666666
2025-12-09/2025-12-15,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,36.50118316822394,accelerating_down,Demographic,Demographic (36%),7,486,462,6,1,0,30,456,286,176,False,complete,100.0
2025-12-16/2025-12-22,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,36.84805660176893,stable,Demographic,Demographic (36%),14,341,132,14,0,0,33,308,69,63,False,complete,100.0
2025-12-23/2025-12-29,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Watchlist,38.01566981788881,stable,Biometric,Biometric (35%),54,325,415,53,1,0,25,300,218,197,True,complete,100.0
2025-12-30/2026-01-05,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,Stable,39.506203319680715,stable,Demographic,Demographic (42%),8,0,0,7,1,0,0,0,0,0,False,partial,33.33333333333333
2025-02-25/2025-03-03,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Watchlist,54.9282042342615,insufficient_data,Demographic,Demographic (36%),0,9607,7095,0,0,0,792,8815,3197,3898,True,partial,66.66666666666666
2025-04-01/2025-04-07,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,43.31418408783553,declining,Biometric,Biometric (45%),0,0,8466,0,0,0,0,0,5267,3199,False,partial,33.33333333333333
2025-04-29/2025-05-05,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,43.96895078206967,stable,Biometric,Biometric (44%),0,0,7687,0,0,0,0,0,5014,2673,False,partial,33.33333333333333
2025-05-27/2025-06-02,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Critical,61.8039560851278,accelerating_up,Enrolment,Enrolment (43%),226,0,10237,186,28,12,0,0,6857,3380,True,partial,66.66666666666666
2025-07-01/2025-07-07,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,37.21909626846583,accelerating_down,Biometric,Biometric (41%),0,0,6162,0,0,0,0,0,2791,3371,False,partial,33.33333333333333
2025-08-26/2025-09-01,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,44.28981014771694,accelerating_up,Biometric,Biometric (37%),24,134,200,21,3,0,31,103,125,75,False,complete,100.0
2025-09-02/2025-09-08,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,51.243971933541616,rising,Biometric,Biometric (39%),160,844,1450,138,21,1,153,691,839,611,False,complete,100.0
2025-09-09/2025-09-15,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,49.164653314629504,stable,Biometric,Biometric (38%),180,969,1600,155,25,0,196,773,828,772,False,complete,100.0
2025-09-16/2025-09-22,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,50.311373472917055,stable,Biometric,Biometric (35%),167,776,1195,142,25,0,93,683,557,638,False,complete,100.0
2025-09-23/2025-09-29,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,49.824846577890035,stable,Demographic,Demographic (33%),132,0,0,111,20,1,0,0,0,0,False,partial,33.33333333333333
2025-10-07/2025-10-13,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,58.59583941940467,accelerating_up,Biometric,Biometric (51%),28,94,12,24,4,0,9,85,3,9,False,complete,100.0
2025-10-14/2025-10-20,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,53.32011125818712,accelerating_down,Biometric,Biometric (36%),199,889,1260,184,14,1,140,749,293,967,False,complete,100.0
2025-10-21/2025-10-27,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Watchlist,65.1392675920405,accelerating_up,Biometric,Biometric (39%),153,789,2188,137,16,0,124,665,1139,1049,False,complete,100.0
2025-10-28/2025-11-03,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,49.02194248703244,accelerating_down,Biometric,Biometric (36%),175,1020,1477,151,23,1,210,810,954,523,False,complete,100.0
2025-11-04/2025-11-10,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,54.64930489035144,accelerating_up,Biometric,Biometric (38%),188,1181,2045,155,24,9,224,957,1096,949,False,complete,100.0
2025-11-11/2025-11-17,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,49.796558967800884,declining,Biometric,Biometric (37%),150,900,1477,128,21,1,151,749,752,725,False,complete,100.0
2025-11-18/2025-11-24,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,53.04752527034907,rising,Biometric,Biometric (43%),66,326,738,60,6,0,57,269,535,203,False,complete,100.0
2025-11-25/2025-12-01,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,55.92331275040537,stable,Biometric,Biometric (43%),27,919,1331,25,2,0,211,708,928,403,False,complete,100.0
2025-12-02/2025-12-08,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,52.0130952752897,declining,Biometric,Biometric (36%),0,1451,1989,0,0,0,281,1170,907,1082,True,partial,66.66666666666666
2025-12-09/2025-12-15,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,50.10104907422921,stable,Biometric,Biometric (35%),77,842,1555,62,10,5,168,674,733,822,False,complete,100.0
2025-12-16/2025-12-22,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,51.23457089685354,stable,Enrolment,Enrolment (38%),110,529,844,110,0,0,70,459,436,408,False,complete,100.0
2025-12-23/2025-12-29,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,51.18041906254906,stable,Biometric,Biometric (36%),236,861,1269,227,8,1,150,711,583,686,False,complete,100.0
2025-12-30/2026-01-05,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,Stable,45.67940510103178,accelerating_down,Demographic,Demographic (36%),42,0,0,30,12,0,0,0,0,0,False,partial,33.33333333333333
2025-02-25/2025-03-03,ANDHRA PRADESH,ANAKAPALLI,Watchlist,61.61989248782747,insufficient_data,Demographic,Demographic (37%),0,12822,10415,0,0,0,1056,11766,7496,2919,True,partial,66.66666666666666
2025-04-01/2025-04-07,ANDHRA PRADESH,ANAKAPALLI,Stable,50.2367689325296,declining,Biometric,Biometric (53%),0,0,16772,0,0,0,0,0,13746,3026,True,partial,33.33333333333333
2025-04-29/2025-05-05,ANDHRA PRADESH,ANAKAPALLI,Stable,49.15758157171142,stable,Biometric,Biometric (50%),0,0,12106,0,0,0,0,0,8945,3161,False,partial,33.33333333333333
2025-05-27/2025-06-02,ANDHRA PRADESH,ANAKAPALLI,Watchlist,62.07691393650839,accelerating_up,Demographic,Demographic (40%),0,582,11467,0,0,0,94,488,7909,3558,False,partial,66.66666666666666
2025-07-01/2025-07-07,ANDHRA PRADESH,ANAKAPALLI,Stable,49.78279124382949,accelerating_down,Demographic,Demographic (45%),0,556,6604,0,0,0,84,472,3123,3481,False,partial,66.66666666666666
2025-08-26/2025-09-01,ANDHRA PRADESH,ANAKAPALLI,Stable,51.143910506978195,stable,Demographic,Demographic (40%),32,320,126,28,4,0,23,297,65,61,False,complete,100.0
2025-09-02/2025-09-08,ANDHRA PRADESH,ANAKAPALLI,Stable,56.97494800519524,accelerating_up,Biometric,Biometric (36%),187,1593,1462,175,12,0,152,1441,736,726,False,complete,100.0
2025-09-09/2025-09-15,ANDHRA PRADESH,ANAKAPALLI,Stable,50.65443438759809,accelerating_down,Biometric,Biometric (35%),165,1441,1475,153,12,0,151,1290,631,844,False,complete,100.0
2025-09-16/2025-09-22,ANDHRA PRADESH,ANAKAPALLI,Stable,53.77603575211209,rising,Demographic,Demographic (39%),149,1524,992,141,8,0,139,1385,371,621,False,complete,100.0
2025-09-23/2025-09-29,ANDHRA PRADESH,ANAKAPALLI,Stable,50.86896632447124,stable,Enrolment,Enrolment (34%),152,0,0,146,6,0,0,0,0,0,False,partial,33.33333333333333
2025-10-07/2025-10-13,ANDHRA PRADESH,ANAKAPALLI,Stable,53.972224054364155,rising,Biometric,Biometric (44%),31,103,3,30,1,0,12,91,2,1,False,complete,100.0
2025-10-14/2025-10-20,ANDHRA PRADESH,ANAKAPALLI,Stable,55.70213981955564,stable,Demographic,Demographic (37%),169,1343,1230,163,6,0,193,1150,421,809,False,complete,100.0
2025-10-21/2025-10-27,ANDHRA PRADESH,ANAKAPALLI,Watchlist,72.55179860779248,accelerating_up,Biometric,Biometric (38%),133,1548,2969,129,4,0,255,1293,1922,1047,False,complete,100.0
2025-10-28/2025-11-03,ANDHRA PRADESH,ANAKAPALLI,Watchlist,60.914834179837555,accelerating_down,Biometric,Biometric (38%),185,2196,2883,177,8,0,474,1722,1886,997,False,complete,100.0
2025-11-04/2025-11-10,ANDHRA PRADESH,ANAKAPALLI,Watchlist,62.85962026662709,stable,Biometric,Biometric (37%),207,2155,2489,200,6,1,372,1783,1549,940,False,complete,100.0
2025-11-11/2025-11-17,ANDHRA PRADESH,ANAKAPALLI,Watchlist,63.59102738803299,stable,Demographic,Demographic (36%),283,2171,2094,275,7,1,283,1888,1214,880,False,complete,100.0
2025-11-18/2025-11-24,ANDHRA PRADESH,ANAKAPALLI,Watchlist,68.63823747854642,accelerating_up,Biometric,Biometric (41%),112,776,1285,106,6,0,111,665,1000,285,False,complete,100.0
2025-11-25/2025-12-01,ANDHRA PRADESH,ANAKAPALLI,Watchlist,74.9417861444642,accelerating_up,Biometric,Biometric (38%),62,2302,2183,62,0,0,401,1901,1638,545,False,complete,100.0
2025-12-02/2025-12-08,ANDHRA PRADESH,ANAKAPALLI,Watchlist,63.81024285707631,accelerating_down,Demographic,Demographic (38%),0,3210,2943,0,0,0,439,2771,1397,1546,False,partial,66.66666666666666
2025-12-09/2025-12-15,ANDHRA PRADESH,ANAKAPALLI,Watchlist,63.65840978594022,stable,Demographic,Demographic (36%),94,2482,2241,89,4,1,276,2206,1094,1147,False,complete,100.0
2025-12-16/2025-12-22,ANDHRA PRADESH,ANAKAPALLI,Watchlist,66.71308931252081,rising,Biometric,Biometric (37%),127,1400,1766,127,0,0,239,1161,1184,582,False,complete,100.0
2025-12-23/2025-12-29,ANDHRA PRADESH,ANAKAPALLI,Watchlist,66.72836278957325,stable,Biometric,Biometric (35%),354,2202,2216,342,9,3,311,1891,1209,1007,True,complete,100.0
2025-12-30/2026-01-05,ANDHRA PRADESH,ANAKAPALLI,Stable,46.476545270996034,accelerating_down,Demographic,Demographic (36%),46,0,0,44,2,0,0,0,0,0,False,partial,33.33333333333333
2025-02-25/2025-03-03,ANDHRA PRADESH,ANANTAPUR,Watchlist,77.22890597947121,insufficient_data,Biometric,Biometric (40%),0,28666,24235,0,0,0,4140,24526,17036,7199,True,partial,66.66666666666666
2025-04-01/2025-04-07,ANDHRA PRADESH,ANANTAPUR,Watchlist,72.25843018388433,declining,Biometric,Biometric (45%),0,2830,40722,0,0,0,578,2252,33509,7213,True,partial,66.66666666666666
2025-04-29/2025-05-05,ANDHRA PRADESH,ANANTAPUR,Emerging_Risk,77.02073679705386,rising,Biometric,Biometric (42%),0,9066,32873,0,0,0,1806,7260,24848,8025,False,partial,66.66666666666666
2025-05-27/2025-06-02,ANDHRA PRADESH,ANANTAPUR,Watchlist,75.36688215874679,stable,Biometric,Biometric (43%),0,6334,28463,0,0,0,1137,5197,19694,8769,False,partial,66.66666666666666
2025-07-01/2025-07-07,ANDHRA PRADESH,ANANTAPUR,Watchlist,66.06191636582221,accelerating_down,Demographic,Demographic (46%),0,8008,13992,0,0,0,1470,6538,6306,7686,False,partial,66.66666666666666
2025-08-26/2025-09-01,ANDHRA PRADESH,ANANTAPUR,Emerging_Risk,80.5557512891516,accelerating_up,Demographic,Demographic (35%),105,736,625,95,10,0,73,663,304,321,False,complete,100.0
